task_id,minute_id,annotation_id,start_xpath,end_xpath,text,reference_type,external_identifier,external_url,document_type,referenced_annotation_id,start_char,end_char,sentence,paragraph
18,h-tk-20012002-4369-4373,Yk1cxg0mZE,/div[2]/div[1]/ul[1]/li[1]/p[1]/text()[1],/div[2]/div[1]/ul[1]/li[1]/p[1]/text()[1],Wijziging van de Opiumwet,impl-ext-parl-doc,kst-27874-2-h1,https://zoek.officielebekendmakingen.nl/kst-27874-2-h1.html,Voorstel van wet,,303,328,"- Wijziging van de Opiumwet.","- Wijziging van
de Opiumwet."
18,h-tk-20012002-4369-4373,BZB20oMt-n,/div[2]/div[1]/p[2]/text()[1],/div[2]/div[1]/p[2]/text()[1],een brief,explicit-parl-doc,kst-onvindbaar,onvindbaar,Brief,,235,244,"Op verzoek van de staatssecretaris stel ik voor, de stemmingen in verband met de Rijksoctrooiwet een week uit te stellen (punt 15 en 16 van de agenda). De Kamer heeft daarover een brief ontvangen.","Op verzoek van de staatssecretaris stel ik voor, de stemmingen in verband
met de Rijksoctrooiwet een week uit te stellen (punt 15 en 16 van de agenda).
De Kamer heeft daarover een brief ontvangen."
18,h-tk-20012002-4369-4373,QjYPrmPd_y,/div[2]/div[1]/ul[2]/li[1]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[1]/p[1]/text()[1]," (24691, nr. 35)",explicit-parl-doc,kst-24691-35,https://zoek.officielebekendmakingen.nl/kst-24691-35.html,Motie,,476,492,"- de motie-Feenstra c.s. over de rol van het Rijk (24691, nr. 35);","- de motie-Feenstra c.s. over de rol van het
Rijk (24691, nr. 35);"
18,h-tk-20012002-4369-4373,mFE-4M3B3l,/div[2]/div[1]/ul[2]/li[2]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[2]/p[1]/text()[1],"(24691, nr. 36)",explicit-parl-doc,kst-24691-36,https://zoek.officielebekendmakingen.nl/kst-24691-36.html,Motie,,561,576,"- de motie-Klein Molekamp c.s. over alternatieven van Albrandswaard (24691, nr. 36);","- de motie-Klein Molekamp c.s. over alternatieven
van Albrandswaard (24691, nr. 36);"
18,h-tk-20012002-4369-4373,yTgmOZyuMh,/div[2]/div[1]/ul[2]/li[3]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[3]/p[1]/text()[1],"(24691, nr. 44)",explicit-parl-doc,kst-24691-44,https://zoek.officielebekendmakingen.nl/kst-24691-44.html,Motie,,657,672,"- de gewijzigde motie-Buijs c.s. over een schaderegeling voor de visserijsector (24691, nr. 44);","- de gewijzigde motie-Buijs c.s.
over een schaderegeling voor de visserijsector (24691, nr. 44);"
18,h-tk-20012002-4369-4373,-qUN90O_b2,/div[2]/div[1]/ul[2]/li[4]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[4]/p[1]/text()[1],"(24691, nr. 39)",explicit-parl-doc,kst-24691-39,https://zoek.officielebekendmakingen.nl/kst-24691-39.html,Motie,,736,751,"- de motie-Ravestein c.s. over ontsluiting voor de binnenvaart (24691, nr. 39);","-
de motie-Ravestein c.s. over ontsluiting voor de binnenvaart (24691, nr. 39);"
18,h-tk-20012002-4369-4373,XOMP7AKL8k,/div[2]/div[1]/ul[2]/li[5]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[5]/p[1]/text()[1],"(24691, nr. 40)",explicit-parl-doc,kst-24691-40,https://zoek.officielebekendmakingen.nl/kst-24691-40.html,Motie,,818,833,"- de motie-Van der Steenhoven/Van Bommel over 750 ha extra natuur (24691, nr. 40);","- de motie-Van der Steenhoven/Van Bommel over 750 ha extra natuur
(24691, nr. 40);"
18,h-tk-20012002-4369-4373,KZwCsWspeI,/div[2]/div[1]/ul[2]/li[6]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[6]/p[1]/text()[1],"(24691, nr. 41)",explicit-parl-doc,kst-24691-41,https://zoek.officielebekendmakingen.nl/kst-24691-41.html,Motie,,915,930,"- de motie-Van der Steenhoven over gevolgen voor de Noordzeekust en de Waddenzee (24691, nr. 41);","- de motie-Van der Steenhoven over gevolgen voor
de Noordzeekust en de Waddenzee (24691, nr. 41);"
18,h-tk-20012002-4369-4373,XPcPnhtnQ9,/div[2]/div[1]/ul[2]/li[7]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[7]/p[1]/text()[1],"(24691, nr. 42)",explicit-parl-doc,kst-24691-42,https://zoek.officielebekendmakingen.nl/kst-24691-42.html,Motie,,1020,1035,"- de motie-Van Bommel/Van der Steenhoven over samenwerking tussen Antwerpen en Rotterdam (24691, nr. 42);","- de motie-Van Bommel/Van
der Steenhoven over samenwerking tussen Antwerpen en Rotterdam (24691, nr.
42);"
18,h-tk-20012002-4369-4373,7YkomJn7c9,/div[2]/div[1]/ul[2]/li[8]/p[1]/text()[1],/div[2]/div[1]/ul[2]/li[8]/p[1]/text()[1],"(24691, nr. 43)",explicit-parl-doc,kst-24691-43,https://zoek.officielebekendmakingen.nl/kst-24691-43.html,Motie,,1103,1118,"- de motie-Klein Molekamp c.s. over de omvang van het zeereservaat (24691, nr. 43).","- de motie-Klein Molekamp c.s. over de omvang van het zeereservaat
(24691, nr. 43)."
18,h-tk-20012002-4369-4373,RUMBAE2mcq,/div[2]/div[1]/p[5]/text()[1],/div[2]/div[1]/p[5]/text()[1],(27482),explicit-dossier,27482,,,,1220,1227,"Op verzoek van de fractie van de VVD stel ik voor, de stemmingen over de wetsvoorstellen Spoorwegwet (27482) en Concessiewet (27216) (punten 3, 4 en 5) uit te stellen tot aanstaande dinsdag.","Op verzoek van de fractie van de VVD stel ik voor, de stemmingen over
de wetsvoorstellen Spoorwegwet (27482) en Concessiewet (27216) (punten 3,
4 en 5) uit te stellen tot aanstaande dinsdag."
