#,minute_id,reference_text,reference_number,reasoning
1,h-tk-20182019-35-8-n1,"de ingediende moties bij het notaoverleg over de initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: ""Big Farma: niet gezond!"" (34834).",34834,"This reference is to the motions submitted during the policy discussion on the initiative note by members Ploumen, Van Gerven, and Ellemeet titled ""Big Farma: niet gezond!"". The document number 34834 is provided, which makes it an explicit reference to a parliamentary document."
2,h-tk-20182019-35-8-n1,"de motie-Moorlag (32813, nr. 257)","32813, nr. 257","This reference is to a specific motion by Moorlag, with the document number 32813 and motion number 257. It is an explicit reference to a parliamentary document."
3,h-tk-20182019-35-8-n1,de volgende stukken van de stand van werkzaamheden af te voeren: 21501-07-1559; 25424-430; 25424-429; 25763-30; 29689-941; 25424-425; 25424-426; 25424-424; 33628-37; 25763-29; 25424-422; 25424-423; 25424-343; 25424-417; 25424-418; 35000-A-28; 31409-199; 29668-49; 34775-XII-76; 31409-198; 31409-196; 31409-192;35059-3; 23645-682; 29984-797; 29984-798; 25268-172; 31016-148; 31016-150; 31016-146; 31016-147; 33561-43; 35103-1; 25087-224;35020-2; 2018Z21641; 34834-5; 29664-191; 32201-92; 29675-192; 2018Z07100; 31409-201; 31409-193 en 34834.,,"This is a list of document numbers proposed to be removed from the agenda. Each number corresponds to a specific parliamentary document, making them explicit references."
4,h-tk-20182019-35-8-n1,de documentaire Verdacht,,"This reference is to the documentary 'Verdacht', which is the basis for the debate request on ethnic profiling by the police. Although not a parliamentary document, it is relevant to the parliamentary discussion."
5,h-tk-20182019-35-8-n1,het programma De Kracht van het verschil,,"This reference is to the program 'De Kracht van het verschil', mentioned in the context of a debate on ethnic profiling. It is relevant to the parliamentary discussion but not a parliamentary document."
6,h-tk-20182019-35-8-n1,het grote helikopterongeluk in Mali in 2015,,"This reference is to an event, the helicopter crash in Mali in 2015, which is the subject of a request for a full investigation report and a debate. It is not a parliamentary document but is relevant to the parliamentary discussion."
7,h-tk-20182019-35-8-n1,het onderzoeksrapport,,"This reference is to the investigation report regarding the helicopter crash in Mali. It is requested to be sent to the parliament, making it a relevant document for parliamentary discussion."
8,h-tk-20182019-35-8-n1,Minister Wiebes houdt cruciale informatie achter over giflek Farmsum,,This reference is to a news headline about Minister Wiebes withholding crucial information regarding a toxic leak in Farmsum. It is the basis for a debate request and is relevant to the parliamentary discussion.
9,h-tk-20182019-35-8-n1,"het SodM, het toezicht",,"This reference is to the Dutch State Supervision of Mines (SodM), which is involved in the oversight of the situation in Farmsum. It is relevant to the parliamentary discussion but not a parliamentary document."
10,h-tk-20182019-64-32,"de initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: ""Big Farma: niet gezond!""",34834,"This reference is to a specific initiative note authored by members Ploumen, Van Gerven, and Ellemeet, titled ""Big Farma: niet gezond!"". The dossier number 34834 is provided, linking it to parliamentary documents."
11,h-tk-20182019-64-32,"de motie-Van den Berg over onderzoek naar biomarkers (34834, nr. 9).","34834, nr. 9","This reference is to a specific motion by Van den Berg concerning research into biomarkers. The dossier number 34834 and motion number 9 are provided, indicating its parliamentary context."
