#,minute_id,reference_text,reference_number,reasoning,TP
3,h-tk-20182019-35-8-n1,de volgende stukken van de stand van werkzaamheden af te voeren: 21501-07-1559; 25424-430; 25424-429; 25763-30; 29689-941; 25424-425; 25424-426; 25424-424; 33628-37; 25763-29; 25424-422; 25424-423; 25424-343; 25424-417; 25424-418; 35000-A-28; 31409-199; 29668-49; 34775-XII-76; 31409-198; 31409-196; 31409-192;35059-3; 23645-682; 29984-797; 29984-798; 25268-172; 31016-148; 31016-150; 31016-146; 31016-147; 33561-43; 35103-1; 25087-224;35020-2; 2018Z21641; 34834-5; 29664-191; 32201-92; 29675-192; 2018Z07100; 31409-201; 31409-193 en 34834.,,"This is a list of document numbers proposed to be removed from the agenda. Each number corresponds to a specific parliamentary document, making them explicit references.",0
4,h-tk-20182019-35-8-n1,de documentaire Verdacht,,"This reference is to the documentary 'Verdacht', which is the basis for the debate request on ethnic profiling by the police. Although not a parliamentary document, it is relevant to the parliamentary discussion.",1
5,h-tk-20182019-35-8-n1,het programma De Kracht van het verschil,,"This reference is to the program 'De Kracht van het verschil', mentioned in the context of a debate on ethnic profiling. It is relevant to the parliamentary discussion but not a parliamentary document.",1
6,h-tk-20182019-35-8-n1,het grote helikopterongeluk in Mali in 2015,,"This reference is to an event, the helicopter crash in Mali in 2015, which is the subject of a request for a full investigation report and a debate. It is not a parliamentary document but is relevant to the parliamentary discussion.",0
7,h-tk-20182019-35-8-n1,het onderzoeksrapport,,"This reference is to the investigation report regarding the helicopter crash in Mali. It is requested to be sent to the parliament, making it a relevant document for parliamentary discussion.",1
8,h-tk-20182019-35-8-n1,Minister Wiebes houdt cruciale informatie achter over giflek Farmsum,,This reference is to a news headline about Minister Wiebes withholding crucial information regarding a toxic leak in Farmsum. It is the basis for a debate request and is relevant to the parliamentary discussion.,0
9,h-tk-20182019-35-8-n1,"het SodM, het toezicht",,"This reference is to the Dutch State Supervision of Mines (SodM), which is involved in the oversight of the situation in Farmsum. It is relevant to the parliamentary discussion but not a parliamentary document.",0
13,h-tk-20012002-4369-4373,de stemmingen in verband met de Rijksoctrooiwet een week uit te stellen (punt 15 en 16 van de agenda). De Kamer heeft daarover een brief ontvangen.,,"This reference is about a proposal to postpone the voting related to the Rijksoctrooiwet. It mentions that the Kamer (parliament) has received a letter about this, indicating a previous communication or document related to the Rijksoctrooiwet.",0
14,h-tk-20012002-4369-4373,Wijziging van de Opiumwet.,,"This reference is about a proposed change to the Opiumwet (Opium Law), indicating a legislative document or proposal that is scheduled for voting.",1
25,h-tk-20012002-4369-4373,het verslag van het algemeen overleg inzake orgaandonaties,,"This reference is about the report of a general consultation (algemeen overleg) on organ donations, indicating a previous parliamentary discussion or document.",0
26,h-tk-20012002-4369-4373,de donderdag door de minister van Economische Zaken goedgekeurde privatisering van het gasbedrijf Obragas,,"This reference is about the privatization of the gas company Obragas, approved by the Minister of Economic Affairs on Thursday, indicating a recent governmental decision or document.",0
27,h-tk-20012002-4369-4373,de reactie van de minister-president over alle zegeningen van Paars,,"This reference is about a response from the Prime Minister regarding the achievements of the 'Paars' coalition, indicating a previous communication or document.",0
28,h-tk-20012002-4369-4373,het wetsvoorstel exploitatie zorginstellingen,,"This reference is about a legislative proposal (wetsvoorstel) concerning the exploitation of healthcare institutions, indicating a specific parliamentary document.",1
29,h-tk-20012002-4369-4373,de tweede tranche van de vervolguitvoeringstoets van het College bouw ziekenhuisvoorzieningen,,"This reference is about the second tranche of the follow-up implementation test by the College bouw ziekenhuisvoorzieningen, indicating a specific report or document related to hospital care distribution.",0
31,h-tk-20012002-4369-4373,een motie aanvaard waarin de regering werd gevraagd haar een notitie toe te sturen,,"This reference is about a previously accepted motion requesting the government to send a note, indicating a specific parliamentary request or document.",1
32,h-tk-20012002-4369-4373,de uitspraak van de rechter in de zaak tegen de Rotterdamse imam,,"This reference is about a court ruling in the case against the Rotterdam imam, indicating a specific legal document or decision.",1
33,h-tk-20012002-4369-4373,het algemeen overleg over de politie,,"This reference is about a general consultation (algemeen overleg) on the police, indicating a specific parliamentary discussion or document.",0
34,h-tk-20012002-4369-4373,de schriftelijke vragen gesteld over de opheffing van de kunst- en antiekafdeling bij het Korps landelijke politiediensten,,"This reference is about written questions regarding the dissolution of the art and antiques department at the national police services, indicating a specific parliamentary inquiry or document.",1
