task_id,minute_id,annotation_id,start_xpath,end_xpath,text,reference_type,external_identifier,external_url,document_type,referenced_annotation_id,start_char,end_char,sentence,paragraph
13,h-tk-20072008-2932-2933,3ruW7b6bTx,/div[2]/h1[1]/p[1]/strong[2]/text()[1],/div[2]/h1[1]/p[1]/strong[2]/text()[1],31226,explicit-dossier,31226,,,,184,189,,
13,h-tk-20072008-2932-2933,W9UtlIJEq_,/div[2]/h1[1]/p[3]/text()[1],/div[2]/h1[1]/p[3]/text()[1],"31226, nr. 27",explicit-parl-doc,kst-31226-27,https://zoek.officielebekendmakingen.nl/kst-31226-27.html,Motie,,311,324,,
13,h-tk-20072008-2932-2933,erVlHOopsy,/div[2]/h1[1]/p[4]/text()[1],/div[2]/h1[1]/p[4]/text()[1],"31226, nr. 28",explicit-parl-doc,kst-31226-28,https://zoek.officielebekendmakingen.nl/kst-31226-28.html,Motie,,397,410,,
13,h-tk-20072008-2932-2933,OsS9bkvyeZ,/div[2]/h1[1]/p[5]/text()[1],/div[2]/h1[1]/p[5]/text()[1],"31226, nr. 29",explicit-parl-doc,kst-31226-29,https://zoek.officielebekendmakingen.nl/kst-31226-29.html,Motie,,525,538,,
13,h-tk-20072008-2932-2933,rD2hhPKJ2h,/div[2]/h1[1]/p[6]/text()[1],/div[2]/h1[1]/p[6]/text()[1],"31226, nr. 30",explicit-parl-doc,kst-31226-30,https://zoek.officielebekendmakingen.nl/kst-31226-30.html,Motie,,636,649,,
13,h-tk-20072008-2932-2933,WOsvON7Mf6,/div[2]/div[2]/p[1]/text()[1],/div[2]/div[2]/p[1]/text()[1],"stuk nr. 12, I",explicit-parl-doc,kst-31226-12,https://zoek.officielebekendmakingen.nl/kst-31226-12.html,Amendement,,728,742,"In stemming komt het amendement-Blok (stuk nr. 12, I).","In stemming komt het amendement-Blok (stuk nr. 12, I)."
13,h-tk-20072008-2932-2933,a3FLjHxbv7,/div[2]/div[3]/p[2]/text()[1],/div[2]/div[3]/p[2]/text()[1],dit amendement,impl-local,31226-12,,,WOsvON7Mf6,851,865,"Ik constateer dat de aanwezige leden van de fracties van D66, de VVD en het lid Verdonk voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van D66, de VVD en
het lid Verdonk voor dit amendement hebben gestemd en de aanwezige leden van
de overige fracties ertegen, zodat het is verworpen. "
13,h-tk-20072008-2932-2933,vrZoYm_-_g,/div[2]/div[3]/p[3]/text()[1],/div[2]/div[3]/p[3]/text()[1],dit amendement,impl-local,31226-12,,,WOsvON7Mf6,1000,1014,"Ik stel vast dat door de verwerping van dit amendement het andere op stuk nr. 12 voorkomende amendement als verworpen kan worden beschouwd.","Ik stel vast dat door de verwerping van dit amendement het andere op stuk
nr. 12 voorkomende amendement als verworpen kan worden beschouwd."
13,h-tk-20072008-2932-2933,3fwGpuSg8w,/div[2]/div[3]/p[3]/text()[1],/div[2]/div[3]/p[3]/text()[1],andere op stuk nr. 12 voorkomende amendement,impl-local,31226-12,,,WOsvON7Mf6,1019,1063,"Ik stel vast dat door de verwerping van dit amendement het andere op stuk nr. 12 voorkomende amendement als verworpen kan worden beschouwd.","Ik stel vast dat door de verwerping van dit amendement het andere op stuk
nr. 12 voorkomende amendement als verworpen kan worden beschouwd."
13,h-tk-20072008-2932-2933,9AnXZiXHEl,/div[2]/div[4]/p[1]/text()[1],/div[2]/div[4]/p[1]/text()[1],"stuk nr. 33, I",explicit-parl-doc,kst-31226-33, https://zoek.officielebekendmakingen.nl/kst-31226-33.html,Amendement,,1163,1177,"In stemming komt het nader gewijzigde amendement-Hamer/Omtzigt (stuk nr. 33, I).","In stemming komt het nader gewijzigde amendement-Hamer/Omtzigt (stuk nr.
33, I)."
